プレイヤー名,合計,パーフェクトイーター,Drastic Dramatic,魔法のかくれんぼ,DEATH†ZIGOQ ～怒りの高速爆走野郎～,バッド・スイーツ、バッド・ドリーム
U*TAKA,17205,3280,3730,3239,3872,3084
WELLOW,17193,3273,3734,3215,3866,3105
ATTIXX,17165,3263,3736,3230,3832,3104
MIKAMO,17151,3267,3743,3204,3849,3088
SEIRYU,17107,3232,3735,3223,3849,3068
UCCHIE,17100,3244,3722,3215,3854,3065
KUREI,16948,3176,3730,3149,3841,3052
BN3K2M,16848,3199,3708,3161,3752,3028
A.X.L.,16787,3164,3682,3144,3788,3009
FLADY,16775,3198,3701,3130,3742,3004
AL,16733,3159,3685,3114,3751,3024
K-JET.,16676,3152,3693,3082,3751,2998
HAKU0,16670,3165,3672,3108,3687,3038
NAGACH,16655,3163,3678,3146,3654,3014
NORI,16645,3120,3681,3133,3721,2990
YYY,16622,3092,3710,3109,3790,2921
RENNE,16606,3160,3676,3082,3681,3007
INAMUG,16592,3147,3617,3081,3771,2976
HINO38,16551,3122,3648,3027,3742,3012
KURUPI,16533,3116,3615,3065,3776,2961
VAN3,16515,3118,3632,3036,3723,3006
YONEPL,16482,3128,3657,3054,3676,2967
SUBARU,16473,3104,3640,3053,3707,2969
NAMIGE,16466,3140,3666,3026,3718,2916
10-SO-,16445,3131,3651,3066,3672,2925
HIDEKA,16431,3117,3617,3069,3648,2980
Y#KIRI,16406,3122,3664,3051,3678,2891
S.MOCK,16401,3084,3625,3046,3681,2965
PUPPY*,16395,3093,3639,3061,3650,2952
KAMA,16354,3137,3628,2955,3650,2984
3.,16352,3087,3655,3054,3586,2970
M,16310,3111,3600,3064,3559,2976
UMECO,16305,3097,3656,2980,3607,2965
SEIA.,16287,3037,3625,3083,3644,2898
K.F,16267,3081,3549,3081,3585,2971
9RESKY,16196,3077,3662,2944,3603,2910
MGRK,16174,3111,3603,2959,3647,2854
P.GOLF,16151,3044,3588,2934,3666,2919
NEFI,16148,3035,3587,3053,3612,2861
INARI,16142,3066,3596,3056,3476,2948
Y-AX!S,16104,3060,3573,3033,3541,2897
MR2N,16097,3080,3558,2973,3550,2936
KASEKI,16091,3008,3622,2976,3601,2884
K1SHOT,16085,3046,3613,2992,3576,2858
RUBY,16070,3017,3608,2961,3581,2903
PIEN,16051,3069,3581,3007,3541,2853
MORITA,16049,2997,3608,2983,3602,2859
MTKN.T,16027,2967,3583,3004,3615,2858
303,15970,2964,3598,2889,3608,2911
EUREKA,15962,3038,3584,2948,3491,2901
4YORI#,15929,2990,3609,2971,3520,2839
MELS,15904,3012,3553,2834,3595,2910
GAMAS,15825,2934,3557,2981,3569,2784
KARUBI,15823,2917,3578,3008,3496,2824
AMMKRN,15763,2950,3549,2950,3505,2809
SIZURU,15743,3011,3491,2928,3524,2789
MR.T,15710,2926,3497,2922,3520,2845
PNSP!!,15672,2954,3551,2930,3451,2786
HIRO-G,15666,2996,3518,2927,3506,2719
BALDER,15663,2957,3477,2883,3518,2828
HRBR*,15650,2972,3526,2966,3426,2760
HAY4TA,15645,2980,3527,2926,3434,2778
SYOTA,15616,2944,3507,2980,3420,2765
88,15578,2929,3514,2872,3493,2770
OECA,15546,2952,3485,2831,3455,2823
Y2,15541,2951,3515,2874,3386,2815
CIYUKI,15496,2914,3481,2783,3495,2823
DELKUI,15466,2922,3447,2893,3470,2734
DICE,15463,2973,3370,2864,3440,2816
UTKR,15457,2877,3539,2851,3427,2763
PALACE,15455,2915,3456,2810,3407,2867
TAKOSS,15442,2963,3469,2800,3467,2743
LAPUTA,15440,2896,3499,2828,3491,2726
ZRX-II,15414,2989,3426,2807,3404,2788
P,15399,2907,3477,2810,3377,2828
RIKA,15391,2908,3417,2939,3449,2678
877*S,15352,2860,3539,2793,3382,2778
DJSODA,15322,2829,3463,2798,3514,2718
LUM,15272,2884,3452,2763,3433,2740
*DNM#,15259,2851,3515,2813,3382,2698
AAAAAA,15250,2881,3411,2773,3481,2704
SUG,15246,2908,3460,2857,3348,2673
R.O.T.,15244,2882,3415,2835,3355,2757
SATAKE,15241,2839,3518,2821,3377,2686
M,15196,2860,3492,2742,3446,2656
PONYO?,15182,2929,3403,2770,3336,2744
NACHT,15156,2893,3389,2764,3379,2731
SOS!,15143,2809,3505,2679,3424,2726
B,15078,2660,3293,2862,3511,2752
AKI,15057,2783,3426,2829,3333,2686
USSY..,14972,2852,3380,2705,3365,2670
NO4CUP,14966,2897,3421,2784,3031,2833
INA,14958,2730,3457,2782,3350,2639
TAKE3N,14949,2874,3405,2764,3184,2722
XEPHY,14936,2794,3402,2769,3275,2696
N0T4M1,14899,2779,3387,2834,3210,2689
CLERNE,14889,2816,3318,2916,3260,2579
AMANE,14871,2765,3378,2795,3217,2716
KUKO,14868,2840,3424,2720,3145,2739
RRREVO,14859,2778,3315,2797,3308,2661
SCALAR,14816,2733,3380,2785,3296,2622
KPBR.,14805,2776,3349,2719,3272,2689
DONMEL,14797,2794,3402,2703,3293,2605
DELPH,14792,2805,3391,2679,3265,2652
$KE2,14786,2671,3375,2752,3280,2708
HIRONO,14762,2791,3364,2804,3288,2515
CNN,14747,2695,3360,2735,3229,2728
CHILL.,14726,2734,3312,2777,3200,2703
ZIKUU.,14726,2835,3421,2688,3078,2704
H1YU!,14693,2732,3382,2699,3239,2641
L.L.,14682,2753,3317,2761,3283,2568
SXSNOW,14670,2765,3360,2745,3159,2641
UOO,14626,2721,3328,2751,3220,2606
DOJO,14616,2737,3391,2736,3083,2669
FURRET,14610,2722,3332,2604,3329,2623
TA983,14598,2678,3280,2783,3218,2639
HARUTO,14591,2771,3390,2643,3268,2519
LULU.L,14543,2729,3314,2667,3218,2615
S.H,14533,2644,3421,2703,3257,2508
SHU1,14512,2667,3393,2752,3162,2538
587141,14435,2744,3214,2736,3216,2525
.59SPA,14435,2696,3339,2608,3248,2544
CAD.,14430,2725,3306,2683,3157,2559
SPARK,14407,2713,3187,2618,3284,2605
KICHI,14337,2770,3329,2636,3034,2568
BULLET,14181,2725,3230,2598,3091,2537
EVA-01,14173,2605,3357,2635,3090,2486
YANMAR,14170,2668,3230,2621,3105,2546
DAN,14169,2649,3325,2660,3035,2500
HIBARI,14123,2673,3278,2559,2998,2615
YAYA,14117,2670,3246,2563,3095,2543
ICHI,14093,2562,3315,2590,3106,2520
NAOKI,14041,2647,3305,2557,2978,2554
SERGEI,14019,2606,3226,2648,3127,2412
YOSTAR,13987,2660,3266,2424,3078,2559
DREAM,13984,2690,3083,2620,3097,2494
NISSAN,13955,2630,3228,2556,3075,2466
TOMJ,13933,2576,3189,2671,2995,2502
LATTE#,13913,2711,3268,2335,3058,2541
FOXOXO,13890,2660,3007,2633,3101,2489
NIUM,13818,2593,3169,2493,3024,2539
URANO.,13812,2580,3291,2559,2879,2503
IYO.S,13803,2541,3175,2618,2992,2477
METHY,13768,2591,3149,2473,2975,2580
ASUIRO,13765,2528,3106,2595,2907,2629
DATTO,13612,2715,2440,2748,3005,2704
EDAGE,13474,2568,3226,2455,2802,2423
WEZ!,13427,2642,3057,2233,3094,2401
DADDY,13417,2566,3112,2370,2894,2475
AQU4N,13403,2513,3135,2454,2849,2452
MURATA,13382,2584,3024,2481,2887,2406
JUNICH,13364,2510,3069,2416,2974,2395
DA-HM,13344,2421,3195,2485,2892,2351
RUQUIA,13328,2493,3141,2449,2802,2443
AIRIA,13294,2626,3141,2373,2735,2419
REVIUS,13287,3066,3592,0,3715,2914
POPORO,13163,2459,3080,2232,2996,2396
HOKORI,13148,2409,3131,2441,2739,2428
B.S.B.,13145,2891,3475,2818,1230,2731
DOOG,13132,3098,3563,0,3609,2862
13,13122,2507,3069,2321,2858,2367
DANPA,13090,0,3551,2983,3630,2926
MOKKAN,13009,3158,0,3148,3725,2978
MAI.K,12979,3007,3574,2894,3504,0
DEF,12967,2404,3039,2437,2714,2373
CRZ-R.,12919,2403,2792,2565,2724,2435
H4YBS.,12909,2426,2996,2356,2821,2310
DAIMON,12877,2953,3562,0,3515,2847
GARO8N,12850,2532,2971,2334,2577,2436
FBI.33,12812,2262,2988,2374,2747,2441
RAY-3-,12812,2469,3031,2375,2539,2398
KIKO,12808,2497,2944,2360,2672,2335
A,12775,2994,3508,0,3524,2749
NAKA3,12775,2347,2969,2362,2812,2285
ZNDMN,12756,2962,3555,0,3530,2709
01245,12720,2504,2893,2382,2602,2339
RUKOU,12697,2430,2939,2450,2465,2413
YAKAN,12688,3164,3589,3075,0,2860
R.3,12686,2256,3016,2378,2676,2360
KURA,12674,2356,2891,2273,2717,2437
HOUKAI,12642,2919,3515,0,3486,2722
.MAPLE,12621,2953,3511,0,3436,2721
-XIAO-,12603,2506,2833,2259,2506,2499
ASLY,12548,3049,3579,2990,0,2930
KASUDX,12519,2338,3057,2325,2589,2210
A.K.A.,12506,2883,3462,0,3464,2697
TK4-KN,12482,2253,2935,2316,2744,2234
DMP,12474,2254,2903,2354,2678,2285
KAZU34,12473,2901,3513,0,3288,2771
L1.PAN,12472,0,3576,2921,3209,2766
SH1NK!,12463,2366,2951,2194,2759,2193
AHOGE,12441,2448,2756,2299,2716,2222
Z.MAYS,12438,2889,3396,0,3473,2680
X-KYAK,12434,3041,3553,2946,0,2894
ABS,12387,2974,3610,2956,0,2847
FLM,12381,2439,2775,2243,2670,2254
LABBIT,12372,2398,2683,2509,2474,2308
CIS,12352,3006,3601,2931,0,2814
AMI*,12350,3010,0,2929,3546,2865
NAMEKO,12343,2850,3470,0,3355,2668
