プレイヤー名,合計,水鏡の異界,No Border,ruin of opals,Smashing Wedge,Purple Perplex
U*TAKA,17205,3280,3730,3239,3872,3084
WELLOW,17193,3273,3734,3215,3866,3105
ATTIXX,17171,3263,3742,3230,3832,3104
MIKAMO,17151,3267,3743,3204,3849,3088
SEIRYU,17107,3232,3735,3223,3849,3068
UCCHIE,17100,3244,3722,3215,3854,3065
KUREI,17018,3214,3730,3181,3841,3052
BN3K2M,16848,3199,3708,3161,3752,3028
FLADY,16815,3213,3701,3130,3767,3004
A.X.L.,16793,3164,3686,3144,3788,3011
YYY,16788,3164,3710,3137,3790,2987
AL,16733,3159,3685,3114,3751,3024
K-JET.,16699,3175,3693,3082,3751,2998
HAKU0,16670,3165,3672,3108,3687,3038
NAGACH,16655,3163,3678,3146,3654,3014
NORI,16645,3120,3681,3133,3721,2990
RENNE,16606,3160,3676,3082,3681,3007
INAMUG,16592,3147,3617,3081,3771,2976
HINO38,16568,3139,3648,3027,3742,3012
KURUPI,16533,3116,3615,3065,3776,2961
VAN3,16515,3118,3632,3036,3723,3006
KAMA,16494,3137,3629,3051,3691,2986
YONEPL,16482,3128,3657,3054,3676,2967
SUBARU,16473,3104,3640,3053,3707,2969
NAMIGE,16466,3140,3666,3026,3718,2916
Y#KIRI,16451,3145,3664,3051,3681,2910
10-SO-,16445,3131,3651,3066,3672,2925
HIDEKA,16431,3117,3617,3069,3648,2980
S.MOCK,16407,3090,3625,3046,3681,2965
PUPPY*,16395,3093,3639,3061,3650,2952
3.,16352,3087,3655,3054,3586,2970
M,16310,3111,3600,3064,3559,2976
UMECO,16305,3097,3656,2980,3607,2965
SEIA.,16287,3037,3625,3083,3644,2898
K.F,16267,3081,3549,3081,3585,2971
AXIOM.,16238,3055,3618,3029,3586,2950
9RESKY,16196,3077,3662,2944,3603,2910
INARI,16188,3081,3627,3056,3476,2948
MGRK,16174,3111,3603,2959,3647,2854
GURA,16169,3047,3584,3031,3657,2850
P.GOLF,16151,3044,3588,2934,3666,2919
NEFI,16148,3035,3587,3053,3612,2861
SILVER,16145,3055,3622,3051,3564,2853
PIEN,16139,3069,3581,3038,3582,2869
Y-AX!S,16104,3060,3573,3033,3541,2897
MR2N,16097,3080,3558,2973,3550,2936
VAN4,16093,3084,3529,2986,3613,2881
KASEKI,16091,3008,3622,2976,3601,2884
K1SHOT,16085,3046,3613,2992,3576,2858
RUBY,16070,3017,3608,2961,3581,2903
DANPA,16067,2977,3551,2983,3630,2926
MORITA,16049,2997,3608,2983,3602,2859
MTKN.T,16027,2967,3583,3004,3615,2858
303,15970,2964,3598,2889,3608,2911
EUREKA,15962,3038,3584,2948,3491,2901
4YORI#,15952,2990,3609,2994,3520,2839
MELS,15904,3012,3553,2834,3595,2910
GAMAS,15825,2934,3557,2981,3569,2784
KARUBI,15823,2917,3578,3008,3496,2824
AMMKRN,15763,2950,3549,2950,3505,2809
SIZURU,15743,3011,3491,2928,3524,2789
MR.T,15710,2926,3497,2922,3520,2845
Y0SEPH,15702,2987,3466,2940,3548,2761
SUZAKU,15687,2954,3484,2937,3505,2807
PNSP!!,15672,2954,3551,2930,3451,2786
HIRO-G,15666,2996,3518,2927,3506,2719
BALDER,15663,2957,3477,2883,3518,2828
HRBR*,15650,2972,3526,2966,3426,2760
HAY4TA,15645,2980,3527,2926,3434,2778
SYOTA,15616,2944,3507,2980,3420,2765
88,15603,2946,3514,2880,3493,2770
B,15581,2920,3519,2862,3511,2769
Y2,15553,2951,3515,2886,3386,2815
#KSL,15547,2883,3539,2817,3515,2793
OECA,15546,2952,3485,2831,3455,2823
CIYUKI,15496,2914,3481,2783,3495,2823
PALACE,15472,2915,3473,2810,3407,2867
DELKUI,15466,2922,3447,2893,3470,2734
DICE,15463,2973,3370,2864,3440,2816
UTKR,15457,2877,3539,2851,3427,2763
TAKOSS,15442,2963,3469,2800,3467,2743
LAPUTA,15440,2896,3499,2828,3491,2726
ZRX-II,15414,2989,3426,2807,3404,2788
P,15399,2907,3477,2810,3377,2828
RIKA,15391,2908,3417,2939,3449,2678
877*S,15352,2860,3539,2793,3382,2778
DJSODA,15322,2829,3463,2798,3514,2718
LUM,15272,2884,3452,2763,3433,2740
*DNM#,15259,2851,3515,2813,3382,2698
AAAAAA,15250,2881,3411,2773,3481,2704
SUG,15246,2908,3460,2857,3348,2673
R.O.T.,15244,2882,3415,2835,3355,2757
SATAKE,15241,2839,3518,2821,3377,2686
NACHT,15198,2893,3397,2798,3379,2731
M,15196,2860,3492,2742,3446,2656
PONYO?,15182,2929,3403,2770,3336,2744
SOS!,15143,2809,3505,2679,3424,2726
AKI,15057,2783,3426,2829,3333,2686
ARGON,14981,2816,3428,2743,3289,2705
USSY..,14972,2852,3380,2705,3365,2670
NO4CUP,14966,2897,3421,2784,3031,2833
INA,14958,2730,3457,2782,3350,2639
TAKE3N,14949,2874,3405,2764,3184,2722
XEPHY,14936,2794,3402,2769,3275,2696
K4KUG0,14919,2842,3397,2712,3240,2728
R4P74N,14903,2809,3416,2737,3257,2684
LAIKA,14902,2860,3411,2744,3223,2664
RRREVO,14902,2778,3358,2797,3308,2661
N0T4M1,14899,2779,3387,2834,3210,2689
CLERNE,14889,2816,3318,2916,3260,2579
AMANE,14871,2765,3378,2795,3217,2716
KUKO,14868,2840,3424,2720,3145,2739
RAIN,14868,2843,3448,2562,3348,2667
SCALAR,14816,2733,3380,2785,3296,2622
KPBR.,14805,2776,3349,2719,3272,2689
DONMEL,14797,2794,3402,2703,3293,2605
DELPH,14792,2805,3391,2679,3265,2652
$KE2,14786,2671,3375,2752,3280,2708
CNN,14778,2695,3391,2735,3229,2728
H1YU!,14775,2732,3419,2744,3239,2641
HIRONO,14762,2791,3364,2804,3288,2515
KUMEDU,14747,2769,3441,2646,3233,2658
CHILL.,14726,2734,3312,2777,3200,2703
ZIKUU.,14726,2835,3421,2688,3078,2704
L.L.,14682,2753,3317,2761,3283,2568
I-----,14678,2717,3398,2795,3167,2601
SXSNOW,14670,2765,3360,2745,3159,2641
UOO,14626,2721,3328,2751,3220,2606
DOJO,14616,2737,3391,2736,3083,2669
FURRET,14610,2722,3332,2604,3329,2623
TA983,14598,2678,3280,2783,3218,2639
HARUTO,14591,2771,3390,2643,3268,2519
OTENAM,14577,2749,3346,2677,3032,2773
LULU.L,14562,2729,3333,2667,3218,2615
S.H,14543,2644,3421,2703,3257,2518
SHU1,14512,2667,3393,2752,3162,2538
587141,14435,2744,3214,2736,3216,2525
.59SPA,14435,2696,3339,2608,3248,2544
CAD.,14430,2725,3306,2683,3157,2559
SPARK,14407,2713,3187,2618,3284,2605
DREAM,14373,2700,3286,2680,3097,2610
KICHI,14337,2770,3329,2636,3034,2568
BULLET,14259,2725,3264,2598,3091,2581
ATH,14241,2717,3197,2684,3069,2574
EVA-01,14173,2605,3357,2635,3090,2486
YANMAR,14170,2668,3230,2621,3105,2546
DAN,14169,2649,3325,2660,3035,2500
HIBARI,14123,2673,3278,2559,2998,2615
YAYA,14120,2670,3246,2563,3095,2546
ICHI,14093,2562,3315,2590,3106,2520
NAOKI,14041,2647,3305,2557,2978,2554
SERGEI,14019,2606,3226,2648,3127,2412
YOSTAR,13987,2660,3266,2424,3078,2559
10-FU,13978,2656,3247,2644,3002,2429
NISSAN,13955,2630,3228,2556,3075,2466
TOMJ,13933,2576,3189,2671,2995,2502
LATTE#,13913,2711,3268,2335,3058,2541
FOXOXO,13890,2660,3007,2633,3101,2489
SUBARU,13883,2573,3157,2533,3109,2511
NIUM,13818,2593,3169,2493,3024,2539
DINASO,13813,3205,3746,0,3784,3078
URANO.,13812,2580,3291,2559,2879,2503
IYO.S,13803,2541,3175,2618,2992,2477
KANA.A,13796,2592,3168,2522,3039,2475
METHY,13768,2591,3149,2473,2975,2580
ASUIRO,13765,2528,3106,2595,2907,2629
SINY,13735,2530,3151,2624,2960,2470
DATTO,13612,2715,2440,2748,3005,2704
44TAKA,13601,2522,3157,2525,2914,2483
STYU--,13535,3177,3658,0,3696,3004
EDAGE,13474,2568,3226,2455,2802,2423
WEZ!,13427,2642,3057,2233,3094,2401
DADDY,13417,2566,3112,2370,2894,2475
AQU4N,13403,2513,3135,2454,2849,2452
MURATA,13382,2584,3024,2481,2887,2406
JUNICH,13364,2510,3069,2416,2974,2395
DA-HM,13344,2421,3195,2485,2892,2351
RUQUIA,13328,2493,3141,2449,2802,2443
AIRIA,13294,2626,3141,2373,2735,2419
REVIUS,13287,3066,3592,0,3715,2914
ANSA,13271,1382,3692,3128,3741,1328
POPORO,13163,2459,3080,2232,2996,2396
HOKORI,13148,2409,3131,2441,2739,2428
B.S.B.,13145,2891,3475,2818,1230,2731
DOOG,13132,3098,3563,0,3609,2862
13,13122,2507,3069,2321,2858,2367
EBOSHI,13079,2452,2992,2387,2905,2343
AROTTE,13077,0,3586,2993,3592,2906
MAI.K,13022,3007,3575,2894,3546,0
-XIAO-,13021,2506,2833,2259,2924,2499
MOKKAN,13009,3158,0,3148,3725,2978
DEF,12967,2404,3039,2437,2714,2373
CRZ-R.,12919,2403,2792,2565,2724,2435
H4YBS.,12909,2426,2996,2356,2821,2310
DAIMON,12877,2953,3562,0,3515,2847
ASLY,12864,3164,3667,3064,0,2969
FBI.33,12863,2313,2988,2374,2747,2441
GARO8N,12850,2532,2971,2334,2577,2436
RAY-3-,12812,2469,3031,2375,2539,2398
KIKO,12808,2497,2944,2360,2672,2335
